U.S. State,Partner,Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
South Dakota,New Zealand(*),Dairy Products,"6,510","3,988","6,585",875,"2,346","5,207","11,361","13,918","8,350","3,783","3,931",4,SD,NZ,0230AT
South Dakota,New Zealand(*),Pork & Pork Products,"1,186","1,373","1,941","1,913","1,683",666,120,299,0,359,75,-79,SD,NZ,0210AT
South Dakota,Vietnam,Dairy Products,596,"2,288","3,510","2,601","1,480",811,"2,359","2,952","4,196","2,074","2,930",41,SD,VM,0230AT
South Dakota,Vietnam,Beef & Beef Products,0,0,19,0,393,15,10,0,825,58,107,86,SD,VM,0205AT
South Dakota,Vietnam,Pork & Pork Products,0,60,0,78,0,256,"2,082",0,0,405,54,-87,SD,VM,0210AT
South Dakota,Vietnam,Soybean meal,0,0,0,0,676,0,0,0,0,0,0,,SD,VM,0105AT
South Dakota,Taiwan,Dairy Products,48,0,0,0,5,0,90,105,171,171,"1,386",710,SD,TW,0230AT
South Dakota,Taiwan,Soybean meal,0,0,0,0,328,"1,511","2,264","3,754","3,433","3,372",835,-75,SD,TW,0105AT
South Dakota,Taiwan,Pork & Pork Products,0,175,0,0,0,0,45,145,6,"1,144",576,-50,SD,TW,0210AT
South Dakota,Taiwan,Soybeans,0,0,0,0,54,19,172,0,80,0,0,,SD,TW,0035AT
South Dakota,Taiwan,Beef & Beef Products,65,"2,374",650,0,0,0,"2,919","2,372","10,972","2,464",0,,SD,TW,0205AT
South Dakota,Chile,Dairy Products,0,0,0,0,0,0,0,26,212,86,"1,329","1,446",SD,CI,0230AT
South Dakota,Chile,Pork & Pork Products,0,156,371,0,0,126,916,62,0,76,104,37,SD,CI,0210AT
South Dakota,Chile,Beef & Beef Products,0,0,104,0,0,149,0,"2,545","2,363",138,0,,SD,CI,0205AT
South Dakota,Honduras,Pork & Pork Products,70,53,107,28,0,10,125,863,161,"2,016","1,197",-41,SD,HO,0210AT
South Dakota,Honduras,Dairy Products,0,0,0,13,0,0,0,0,0,0,0,,SD,HO,0230AT
South Dakota,Peru,Dairy Products,0,72,23,227,0,0,19,"1,033","1,067",747,776,4,SD,PE,0230AT
