,,,,,,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
,U.S. State,,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","South Dakota","31","Costa Rica","1","Pork & Pork Products","0","0","154","65","0","0","0","247","0","731","60","-92","SD","CS","0210AT",
"1","South Dakota","31","Costa Rica","2","Dairy Products","0","0","0","0","0","0","0","8","37","19","33","77","SD","CS","0230AT",
"1","South Dakota","31","Costa Rica","3","Beef & Beef Products","0","0","0","0","38","0","0","388","0","78","0","","SD","CS","0205AT",
"1","South Dakota","32","South Africa","1","Dairy Products","0","0","500","0","0","0","0","152","584","153","82","-46","SD","SF","0230AT",
"1","South Dakota","32","South Africa","2","Beef & Beef Products","0","0","26","21","0","12","0","42","129","0","0","","SD","SF","0205AT",
"1","South Dakota","33","Saudi Arabia","1","Beef & Beef Products","0","0","0","0","0","0","206","163","0","113","56","-51","SD","SA","0205AT",
"1","South Dakota","34","Iraq","1","Beef & Beef Products","0","0","0","0","0","24","214","133","0","18","50","184","SD","IZ","0205AT",
"1","South Dakota","35","Trinidad and Tobago","1","Dairy Products","0","0","36","18","0","0","0","0","0","38","32","-17","SD","TD","0230AT",
"1","South Dakota","36","Ireland","1","Dairy Products","0","243","0","0","0","0","0","0","0","0","30","","SD","EI","0230AT",
"1","South Dakota","37","Indonesia","1","Dairy Products","0","0","0","6","3","0","0","8","0","13","10","-25","SD","ID","0230AT",
"1","South Dakota","37","Indonesia","2","Soybean meal","0","0","0","0","229","0","0","0","0","0","0","","SD","ID","0105AT",
"1","South Dakota","37","Indonesia","3","Beef & Beef Products","0","63","108","0","0","0","0","0","211","78","0","","SD","ID","0205AT",
"1","South Dakota","38","Denmark","1","Dairy Products","141","0","0","0","0","0","0","0","0","0","4","","SD","D1","0230AT",
"1","South Dakota","38","Denmark","2","Hay","0","0","3","0","0","0","0","0","0","0","0","","SD","D1","0135AT",
"1","South Dakota","39","United Arab Emirates","1","Beef & Beef Products","0","0","52","231","0","42","0","4","0","0","0","","SD","AE","0205AT",
"1","South Dakota","39","United Arab Emirates","2","Dairy Products","42","0","503","330","52","0","0","0","0","0","0","","SD","AE","0230AT",
"1","South Dakota","40","Algeria","1","Dairy Products","1,212","0","0","0","0","0","0","0","0","0","0","","SD","AG","0230AT",
"1","South Dakota","41","Bermuda","1","Beef & Beef Products","43","23","0","0","0","0","0","0","48","0","0","","SD","BD","0205AT",
"1","South Dakota","41","Bermuda","2","Pork & Pork Products","0","4","0","0","8","0","0","0","0","0","0","","SD","BD","0210AT",
"1","South Dakota","42","Belgium-Luxembourg(*)","1","Dairy Products","63","0","0","304","0","0","0","0","0","0","0","","SD","BE","0230AT",
"1","South Dakota","43","Bolivia","1","Dairy Products","0","0","0","0","0","0","0","0","0","6","0","","SD","BL","0230AT",
"1","South Dakota","44","Burma","1","Soybean meal","0","0","0","0","225","0","0","0","0","0","0","","SD","BM","0105AT",
"1","South Dakota","45","Sri Lanka","1","Soybean meal","0","0","1,684","468","0","0","0","0","0","0","0","","SD","CE","0105AT",
"1","South Dakota","46","Ecuador","1","Beef & Beef Products","0","0","0","0","0","0","5","0","0","0","0","","SD","EC","0205AT",
"1","South Dakota","46","Ecuador","2","Dairy Products","0","0","0","0","0","0","0","0","0","12","0","","SD","EC","0230AT",
"1","South Dakota","47","Egypt","1","Beef & Beef Products","0","0","0","0","22","0","0","0","0","0","0","","SD","EG","0205AT",
"1","South Dakota","48","France(*)","1","Dairy Products","0","0","0","0","0","85","0","0","0","0","0","","SD","FR","0230AT",
"1","South Dakota","49","Georgia","1","Beef & Beef Products","0","16","0","0","0","0","0","0","0","0","0","","SD","GG","0205AT",
"1","South Dakota","50","Germany","1","Beef & Beef Products","0","0","0","0","198","0","49","0","0","0","0","","SD","GM","0205AT",
"1","South Dakota","50","Germany","2","Dairy Products","0","0","0","0","0","0","25","0","0","0","0","","SD","GM","0230AT",
"1","South Dakota","51","Guyana","1","Wheat","0","0","1,424","0","0","0","0","0","0","0","0","","SD","GY","0015AT",
"1","South Dakota","52","Haiti","1","Wheat","0","0","989","2,010","0","0","0","0","0","0","0","","SD","HA","0015AT",
"1","South Dakota","52","Haiti","2","Dairy Products","99","0","0","0","16","0","0","0","0","0","0","","SD","HA","0230AT",
"1","South Dakota","53","Cote d'Ivoire","1","Beef & Beef Products","0","0","0","0","0","0","67","0","0","0","0","","SD","IV","0205AT",
"1","South Dakota","54","Jamaica","1","Beef & Beef Products","0","0","11","0","0","0","0","0","0","0","0","","SD","JM","0205AT",
"1","South Dakota","55","Jordan","1","Beef & Beef Products","0","0","0","0","0","237","226","69","0","0","0","","SD","JO","0205AT",
"1","South Dakota","55","Jordan","2","Pork & Pork Products","0","0","0","0","0","0","0","0","46","0","0","","SD","JO","0210AT",
"1","South Dakota","56","Lebanon","1","Beef & Beef Products","0","0","0","72","0","87","0","0","30","0","0","","SD","LE","0205AT",
"1","South Dakota","57","Macau","1","Beef & Beef Products","0","0","0","0","0","0","0","0","34","44","0","","SD","MC","0205AT",
"1","South Dakota","58","Morocco","1","Soybean meal","0","0","2,722","0","0","0","0","0","0","0","0","","SD","MO","0105AT",
"1","South Dakota","59","Oman","1","Soybean meal","0","0","0","10","0","0","0","0","0","0","0","","SD","MU","0105AT",
"1","South Dakota","59","Oman","2","Beef & Beef Products","0","0","0","0","0","0","25","0","0","0","0","","SD","MU","0205AT",
"1","South Dakota","60","Mozambique","1","Pork & Pork Products","0","0","0","0","0","0","48","0","0","0","0","","SD","MZ","0210AT",
"1","South Dakota","61","Netherlands Antilles(*)","1","Pork & Pork Products","0","0","0","0","0","5","12","0","0","0","0","","SD","NT","0210AT",
"1","South Dakota","62","Panama","1","Beef & Beef Products","0","0","0","0","0","22","0","0","0","0","0","","SD","PM","0205AT",
"1","South Dakota","62","Panama","2","Pork & Pork Products","0","73","749","0","0","0","0","0","0","0","0","","SD","PM","0210AT",
"1","South Dakota","62","Panama","3","Dairy Products","0","0","0","17","0","0","0","0","0","0","0","","SD","PM","0230AT",
"1","South Dakota","63","Papua New Guinea","1","Soybeans","0","0","0","0","463","0","0","0","0","0","0","","SD","PP","0035AT",
"1","South Dakota","63","Papua New Guinea","2","Soybean meal","5,017","5,724","4,191","313","658","0","0","0","0","0","0","","SD","PP","0105AT",
"1","South Dakota","63","Papua New Guinea","3","Soybean Oil","288","0","0","0","0","0","0","0","0","0","0","","SD","PP","0115AT",
"1","South Dakota","64","Qatar","1","Beef & Beef Products","0","0","0","0","0","0","11","0","83","0","0","","SD","QA","0205AT",
"1","South Dakota","65","Sweden","1","Dairy Products","0","0","0","0","0","0","0","19","350","0","0","","SD","SW","0230AT",
"1","South Dakota","66","Switzerland(*)","1","Beef & Beef Products","0","68","23","100","128","839","756","484","434","333","0","","SD","SZ","0205AT",
"1","South Dakota","67","United Kingdom","1","Soybean meal","0","0","0","0","0","0","0","0","0","671","0","","SD","UK","0105AT",
"1","South Dakota","67","United Kingdom","2","Dairy Products","0","0","0","0","95","0","0","0","0","0","0","","SD","UK","0230AT",
"1","South Dakota","68","Ukraine","1","Wheat","0","0","22","0","0","0","0","0","0","0","0","","SD","UP","0015AT",
"1","South Dakota","69","Uruguay","1","Dairy Products","5","0","0","0","0","0","0","0","0","0","0","","SD","UY","0230AT",
"1","South Dakota","70","Uzbekistan, Republic of","1","Beef & Beef Products","0","18","14","0","0","17","0","0","0","0","0","","SD","UZ","0205AT",
"1","South Dakota","71","Namibia","1","Wheat","0","0","1,676","0","0","0","0","0","0","0","0","","SD","WA","0015AT",
"1","South Dakota","72","French Pacific Islands(*)","1","Pork & Pork Products","0","0","0","0","0","0","0","0","0","87","0","","SD","Z1","0210AT",
"1","South Dakota","73","Other Pacific Islands, NEC(*)","1","Soybean meal","3,199","5,148","4,284","1,615","5,000","2,440","123","0","0","0","0","","SD","Z7","0105AT",
"","Grand Total","","","","","500,328","395,510","384,880","385,566","387,061","389,666","493,530","643,993","815,694","743,886","626,208","-16",
